Requirement ID,Smell Type,Smell Sub-type,Completeness,Completeness-Reasons,Correctness,Correctness-Reasons
1,,,1,,1,
2,,,1,,1,
3,,,1,,1,
4,,,0,"1.3.1, 1.6",1,
5,,,0,"1.3, 1.6",0,2.3.2
6,,,0,1.4.1,1,
7,lexical,weak_verbs,0,1.6,0,2.7
8,,,0,1.6,0,2.7
9,,,0,1.6,0,2.7
10,,,0,1.5,0,2.3.3
11,,,0,"1.3, 1.6",0,2.3.2
12,lexical,subjective_language,0,1.6,1,
13,lexical,subjective_language,0,1.3,0,2.7
14,,,0,1.6,1,
15,,,0,1.6,1,
16,,,0,1.6,0,2.7
17,,,1,,1,
18,lexical,optional_parts,1,,1,
19,,,1,,0,2.3.2
Total,,,6,,10,
