Requirement ID,Smell Type,Smell Sub-type,Completeness,Completeness-Reasons,Correctness,Correctness-Reasons
1,,,1,,1,
2,,,0,1.3,0,2.7
3,,,1,,1,
4,,,1,,1,
5,,,0,1.3.1,0,2.3.3
6,,,1,,0,2.3.2
7,,,1,,0,2.4.1
8,lexical,subjective_language,0,"1.3, 1.5",0,2.7
9,syntactic,passive_voice,0,"1.3, 1.5",1,
10,semantic,ambiguities,0,1.6,1,
11,semantic,logical_inconsistencies,0,1.3,1,
12,lexical,subjective_language,1,,0,2.5.1
13,syntactic,negative,1,,0,2.3.1
14,semantic,numerical_discrepancies,1,,1,
15,syntactic,vague_pronouns,1,,1,
16,syntactic,passive_voice,0,1.3.1,1,
17,syntactic,passive_voice,0,"1.3, 1.4",0,2.3.2
18,lexical,subjective_language,1,,0,2.5.1
19,semantic,logical_inconsistencies,1,,0,2.3.1
20,lexical,weak_verbs,0,1.5.3,0,2.7
21,lexical,subjective_language,0,1.5.1,1,
22,syntactic,negative,1,,1,
23,lexical,optional_parts,1,,1,
24,semantic,ambiguities,0,1.3,0,2.7
25,lexical,subjective_language,0,"1.3, 1.5",0,2.7
Total,,,13,,12,
