Requirement ID,Smell Type,Smell Sub-type,Completeness,Completeness-Reasons,Correctness,Correctness-Reasons
1,,,0,1.6,0,2.7
2,,,1,,1,
3,,,1,,1,
4,,,1,,1,
5,,,1,,1,
6,,,0,1.3,0,2.7
7,,,1,,1,
8,,,0,1.3,0,2.5.3
9,,,0,"1.3, 1.5",1,
10,,,0,1.3.1,1,
11,,,0,"1.3, 1.6.1",1,
12,,,1,,1,
13,,,1,,1,
14,,,1,,1,
15,,,1,,1,
16,,,1,,1,
17,,,0,"1.3, 1.4",1,
18,,,1,,1,
19,,,1,,1,
20,,,0,1.5.1,1,
21,,,0,1.5.1,1,
22,,,0,1.3,0,2.5.3
23,,,1,,0,2.3.2
24,,,0,1.3.1,1,
25,,,0,"1.3, 1.3.1",1,
Total,,,13,,20,
