Requirement ID,Smell Type,Smell Sub-type,Completeness,Completeness-Reasons,Correctness,Correctness-Reasons
1,,,1,,1,
2,,,0,1.3,0,2.7
3,,,1,,1,
4,,,1,,1,
5,,,1,,0,2.3.2
6,,,1,,0,2.3.2
7,,,1,,1,
8,,,1,,0,"2.3.3, 2.5.3"
9,syntactic,passive_voice,0,"1.3, 1.5",1,
10,,,0,1.3.1,1,
11,,,0,1.6.1,1,
12,,,1,,1,
13,syntactic,negative,1,,0,2.3.1
14,,,1,,1,
15,syntactic,vague_pronouns,1,,0,2.3.2
16,syntactic,passive_voice,0,1.3.1,1,
17,syntactic,passive_voice,0,1.4,1,
18,,,1,,1,
19,,,1,,1,
20,,,1,,1,
21,,,0,1.5.1,1,
22,syntactic,negative,1,,0,"2.3.3, 2.5.3"
23,,,1,,0,2.3.2
24,,,0,1.3,0,2.7
25,,,0,"1.3, 1.3.1",1,
Total,,,16,,16,
