Requirement ID,Smell Type,Smell Sub-type,Completeness,Completeness-Reasons,Correctness,Correctness-Reasons
1,,,1,,1,
2,,,1,,1,
3,,,1,,1,
4,,,1,,1,
5,,,1,,1,
6,,,1,,1,
7,,,1,,1,
8,lexical,subjective_language,0,"1.3, 1.5.1",0,2.5.3
9,,,0,"1.3, 1.5",1,
10,,,0,1.3.1,0,2.3.3
11,,,0,"1.3, 1.6.1",1,
12,,,1,,1,
13,,,1,,1,
14,,,1,,1,
15,,,1,,1,
16,syntactic,passive_voice,0,1.3.1,1,
17,,,0,1.4,1,
18,,,1,,1,
19,,,1,,1,
20,,,1,,1,
21,,,1,,1,
22,syntactic,negative,0,1.3,0,2.5.3
23,,,1,,1,
24,,,0,1.3,0,2.7
25,lexical,subjective_language,0,1.3.1,1,
Total,,,16,,21,
