Requirement ID,Smell Type,Smell Sub-type,Completeness,Completeness-Reasons,Correctness,Correctness-Reasons
1,,,1,,1,
2,,,0,1.6,0,2.7
3,,,1,,1,
4,,,0,1.6,0,2.7
5,,,0,1.3,0,2.7
6,,,0,1.6,0,2.7
7,,,0,1.6,0,2.7
8,,,0,1.3,0,2.7
9,,,0,1.6,0,2.7
10,,,1,,1,
11,,,1,,0,2.3.2
12,lexical,subjective_language,0,"1.3, 1.5",1,
13,lexical,subjective_language,0,"1.3, 1.5",1,
14,,,0,1.3.1,1,
15,,,1,,0,2.3.2
16,lexical,optional_parts,0,"1.3, 1.6",0,2.7
17,lexical,subjective_language,0,1.6,0,2.7
18,lexical,optional_parts,1,,0,2.6.1
19,,,1,,1,
20,,,0,1.3,0,2.7
Total,,,7,,7,
