Requirement ID,Smell Type,Smell Sub-type,Completeness,Completeness-Reasons,Correctness,Correctness-Reasons
1,,,1,,1,
2,,,1,,1,
3,,,1,,1,
4,,,0,1.6,0,2.7
5,,,0,1.3.1,1,
6,,,0,1.6.1,1,
7,,,0,1.6,0,2.7
8,syntactic,negative,0,1.3,0,2.7
9,,,1,,1,
10,,,0,1.4,1,
11,,,1,,1,
12,,,0,"1.3, 1.5, 1.6",1,
13,,,1,,1,
14,syntactic,passive_voice,1,,1,
15,,,1,,1,
16,,,0,"1.3, 1.6",0,2.7
17,,,0,1.6.1,1,
18,,,0,1.6,0,2.7
19,syntactic,vague_pronouns,1,,0,2.5.2
20,syntactic,passive_voice,0,1.3,0,2.7
Total,,,9,,13,
