"id","description",smell,"smell_type"
"1","A dice-throwing game for three players.",,
"2","Every player starts with 0 points.",,
"3","The players take turns.",,
"4","In each turn, a player must throw a dice.",,
"5","The dice count gets added to the player's points.",,
"6","After each turn, the system prints the dice count and the player points.",,
"7","The game ends after 12 turns.",,
"8","The game also terminates if one player has 10 more points than every other player.",,
"9","If and only if the dice count is 1, the player must decide if he wants to re-roll the dice instead.",,
"10","The winner will receive the message: ""Congratulations "" + player name + "" you won the game! You are the best!"".",,
"11","In the beginning, the player point colors shall be red, green, and blue for player 1, player 2, and player 3 respectively.",,
"12","If a player's points get above 11, his point color shall turn purple.",,
"13","If the current player throws a 6, the next player's turn is skipped.",,
"14","If the dice count is 2, it shall be tripled. If the dice count is even but not 2, it shall be halved.",,
"15","If the points turn equal at any point in the game, the game shall print: ""Equality!"".",,
"16","The program shall decide the player's turn order randomly at the beginning of the game.",,
"17","The players shall enter their names. If they enter ""Computer"", the system shall print ""Name cannot be Computer"" and ask for the name again.",,
"18","If the dice count is 5, throw again and multiply both dice counts.",,
"19","When a player's points get above 5 points, his point color shall turn yellow.",,
"20","In each turn, the player must decide if he wants to skip his turn.",,
"21","If a player throws the same value three times in a row, his points are reset to 0.",,
"22","If two players have the same amount of points, one player must gain more points than the others before the game can end.",,
"23","After a game has ended, the system shall print the players' points and the winner.",,
"24","The player with the most points after the game has ended will be the winner.",,
"25","If the players decide to play again, instead of choosing the player order randomly, the players shall be ordered by their points in the last game ascending.",,
