"id","description",smell,"smell_type"
"1","The goal of the game is to grow the length of the snake by making the snake eat food until it fills the entire board.",,
"2","The snake eats food when it touches the food (namely every time the snake passes over food on the board).",,
"3","Every time the snake eats a piece of food, its body grows by one block which gets attached to the end of the body.",,
"4","If the snake touches a board side the game is over.",,
"5","If the snake touches its own body the game is over.",,
"6","The game board consists of k x k blocks, where k shall be given as input by the user. Every block, including the food and body blocks of the snake, shall have a size of 5 x 5 pixels.",,
"7","When the game starts, the board is initialised with a snake and a piece of food. The snake is represented as a single green block, positioned at the bottom left square of the board. The initial direction shall be up. The piece of food is represented as a single red block placed at a random position on the board.",,
"8","When the user presses up, down, right, or left on the keyboard, the snake continues to move to the corresponding direction.",,
"9","Every time the snake eats a piece of food, a new piece of food shall be placed at a random position on the board.",,
"10","Every time the snake eats a piece of food, its speed increases by 1%.",,
"11","The user can set the difficulty to easy or hard. If the user selects “easy”, the snake initially moves with a speed of 0.5 blocks per second. If the user selects “hard”, the snake initially moves with a speed of 2 blocks per second.",,
"12","After the snake has eaten 10 pieces of food, a blue bonus piece of food should appear. When the snake eats that piece, three blocks shall be attached to the snake's body.",,
"13","Every 5 minutes, a golden bonus block shall appear additionally to the food block. If the snake eats the bonus block, the speed shall decrease by 5%.",,
"14","If the user presses p on the keyboard, the game shall pause until the user presses p again.",,
