"id","description",smell,"smell_type"
"1","A game for three players.",,
"2","The program shall decide the players’ turn order randomly at the beginning of the game.",,
"3","Every time a player takes all the cards from the table during his turn, he earns a special point.",,
"4","The game is played with a deck of 40 cards, divided into four suits (Coins, Cups, Swords, and Clubs).",,
"5","Every suit has 10 cards, from 1 to 10.",,
"6","The primary objective of Scopa is to reach a score of 8. The player who first reaches the limit wins the game.",,
"7","Players shall be able to play multiple rounds to reach the winning score.",,
"8","First, the program shuffles the deck. Then, each player receives three cards. Finally, four cards are placed on the table.",,
"9","In each turn of the game, the player has to select a card from his hand.",,
"10","If the value of the selected card during a player's turn matches the value of one card on the table, the player puts the matching card on his discard pile.",,
"11","If the value of the selected card during a player's turn matches the sum of the values of two or more cards on the table, the player puts the matching cards on his discard pile.",,
"12","If the selected card doesn't match any card on the table, the players' card gets added to the existing cards on the table.",,
"13","When a player has no cards left on his hand, he receives three new cards from the deck.",,
"14","Once all the cards have been distributed to the players, the round comes to an end. If there are any cards left on the table, the player who last had drawn cards will take them on his discard pile.",,
"15","After the round has ended, all players tally up their points. If any player reaches the winning score, the game ends. If not, a new round begins.",,
"16","At the end of each round, the players receive a point for each of the following rules applied to the discard piles of each player: the player with the most cards, the player with the most coins cards, the player who has the seven of Coins, the player with the highest sum of their cards.",,
