"id","description",smell,"smell_type"
"6","The blocks composing the rectangular board shall have a size of 10 x 10 pixels.",ambiguities,"semantic"
"7","The paddles are located on the left and right side of the board.",ambiguities,"semantic"
"8","When the game starts, the paddles shall not be located anywhere but in the middle of the vertical sides.",negative,"syntactic"
"9","The ball is a square with a size of 1 x 2 blocks.",numerical_discrepancies,"semantic"
"10","The goal is score points by kicking the ball to the goal. The first player to get many points wins and the game ends.",ambiguities,"semantic"
"11","The paddle of player 1 is on the right side and the paddle of player 2 is on the left side. Player 1 controls the left paddle, and player 2 controls the right paddle.",logical_inconsistencies,"semantic"
"12","The game should always show the correct winning message.",subjective_language,"lexical"
"13","After a player scores a point, the game resets to the normal conditions. Instead of moving the ball to the left, the ball shall move to one side depending on what is fair considering who lost the last round.",subjective_language,"lexical"
"14","The ball's speed shall be increased by 10% of its current speed every time the ball hits the top or bottom of the board, or a paddle.",passive_voice,"syntactic"
"15","The player(s) can select between a 1 player mode, and a 2 player mode. In the 2 player mode, both paddles are controlled by the players.",ambiguities,"semantic"
"16","If possible, a dashed line shall separate the two sides of the board in the horizontal center of the board.",optional_parts,"lexical"
"17","Both on the left and right side of the board, there should be numbers representing the current scores of both players. The numbers shall be placed at the top of the board vertically and use the lowest number of blocks necessary to display the numbers.",subjective_language,"lexical"
"18","The background of the board can be black, and everything else can be white.",optional_parts,"lexical"
"19","Every time the ball hits the top or bottom of the board, it shall make a beep sound.",vague_pronouns,"syntactic"
"20","The first player's paddle is controlled by pressing w and s for up and down respectively. The second player's paddle is controlled by pressing the up and down arrow keys for up and down respectively.",passive_voice,"syntactic"
