Test,Metric,p-value,Significant,Cramer's V,Effect Size,% Zeros (With),% Zeros (Without),Difference,Impact,Interpretation
Has any smell,Correctness,5.950391090198746e-08,Yes,0.22945898470143536,Small,21.9,44.6,-22.700000000000003,Positive,Strong evidence (***) that Has any smell unexpectedly decreases zeros by 22.7% (positive impact). Effect size: Small (0.229)
Has any smell,Completeness,3.9433347591114054e-05,Yes,0.17402297847876314,Small,39.8,58.7,-18.900000000000006,Positive,Strong evidence (***) that Has any smell unexpectedly decreases zeros by 18.9% (positive impact). Effect size: Small (0.174)
Smell type: syntactic,Correctness,7.624567897761695e-06,Yes,0.21683692122798198,Small,21.9,51.9,-30.0,Positive,Strong evidence (***) that Smell type: syntactic unexpectedly decreases zeros by 30.0% (positive impact). Effect size: Small (0.217)
Smell type: lexical,Completeness,3.7162671729665524e-05,Yes,0.19820826874051378,Small,39.8,69.5,-29.700000000000003,Positive,Strong evidence (***) that Smell type: lexical unexpectedly decreases zeros by 29.7% (positive impact). Effect size: Small (0.198)
Smell type: semantic,Correctness,0.0001557376538922954,Yes,0.17887003731532908,Small,21.9,43.8,-21.9,Positive,Strong evidence (***) that Smell type: semantic unexpectedly decreases zeros by 21.9% (positive impact). Effect size: Small (0.179)
Smell type: semantic,Completeness,0.00042662266933028107,Yes,0.16663420033240975,Small,39.8,63.0,-23.200000000000003,Positive,Strong evidence (***) that Smell type: semantic unexpectedly decreases zeros by 23.2% (positive impact). Effect size: Small (0.167)
Smell type: lexical,Correctness,0.007411449780996436,Yes,0.1286853256239499,Small,21.9,39.0,-17.1,Positive,Strong evidence (***) that Smell type: lexical unexpectedly decreases zeros by 17.1% (positive impact). Effect size: Small (0.129)
Smell type: syntactic,Completeness,1.0,No,0.0,Negligible,39.8,40.4,-0.6000000000000014,Positive,No statistically significant effect on completeness scores (p=1.000)
Subtype: ambiguities,Completeness,1.2376808763753081e-06,Yes,0.23950012828687178,Small,39.8,83.3,-43.5,Positive,Strong evidence (***) that Subtype: ambiguities unexpectedly decreases zeros by 43.5% (positive impact). Effect size: Small (0.240)
Subtype: subjective_language,Completeness,7.365565669605534e-06,Yes,0.2222062006873897,Small,39.8,81.8,-42.0,Positive,Strong evidence (***) that Subtype: subjective_language unexpectedly decreases zeros by 42.0% (positive impact). Effect size: Small (0.222)
Subtype: numerical_discrepancies,Correctness,2.1570804332953843e-05,Yes,0.2159368851466541,Small,21.9,76.9,-55.00000000000001,Positive,Strong evidence (***) that Subtype: numerical_discrepancies unexpectedly decreases zeros by 55.0% (positive impact). Effect size: Small (0.216)
Subtype: negative,Correctness,6.212565743969046e-05,Yes,0.2027801966127587,Small,21.9,68.8,-46.9,Positive,Strong evidence (***) that Subtype: negative unexpectedly decreases zeros by 46.9% (positive impact). Effect size: Small (0.203)
Subtype: vague_pronouns,Correctness,7.630475150659074e-05,Yes,0.20082121514880036,Small,21.9,71.4,-49.50000000000001,Positive,Strong evidence (***) that Subtype: vague_pronouns unexpectedly decreases zeros by 49.5% (positive impact). Effect size: Small (0.201)
Subtype: logical_inconsistencies,Correctness,0.0008232909355191212,Yes,0.16766184103080423,Small,21.9,54.2,-32.300000000000004,Positive,Strong evidence (***) that Subtype: logical_inconsistencies unexpectedly decreases zeros by 32.3% (positive impact). Effect size: Small (0.168)
Subtype: numerical_discrepancies,Completeness,0.00899902315131136,Yes,0.1327800603565341,Small,39.8,0.0,39.8,Negative,Strong evidence (***) that Subtype: numerical_discrepancies increases zeros by 39.8% (negative impact). Effect size: Small (0.133)
Subtype: logical_inconsistencies,Completeness,0.017676087170319547,Yes,0.11891437600875646,Small,39.8,66.7,-26.900000000000006,Positive,Evidence (**) that Subtype: logical_inconsistencies unexpectedly decreases zeros by 26.9% (positive impact). Effect size: Small (0.119)
Subtype: subjective_language,Correctness,0.0394488246633904,Yes,0.1020843509417845,Small,21.9,39.4,-17.5,Positive,Evidence (**) that Subtype: subjective_language unexpectedly decreases zeros by 17.5% (positive impact). Effect size: Small (0.102)
Subtype: weak_verbs,Completeness,0.07114578209095489,No,0.09149410526890164,Negligible,39.8,66.7,-26.900000000000006,Positive,No statistically significant effect on completeness scores (p=0.071)
Subtype: optional_parts,Correctness,0.14065089074905826,No,0.0750899646927273,Negligible,21.9,45.5,-23.6,Positive,No statistically significant effect on correctness scores (p=0.141)
Subtype: weak_verbs,Correctness,0.46923007355276913,No,0.0366946863553369,Negligible,21.9,33.3,-11.399999999999999,Positive,No statistically significant effect on correctness scores (p=0.469)
Subtype: passive_voice,Completeness,0.4713487555763378,No,0.03619574703869134,Negligible,39.8,50.0,-10.200000000000003,Positive,No statistically significant effect on completeness scores (p=0.471)
Subtype: negative,Completeness,0.6692482841221534,No,0.021631096198437286,Negligible,39.8,31.2,8.599999999999998,Negative,No statistically significant effect on completeness scores (p=0.669)
Subtype: passive_voice,Correctness,0.7470911465242468,No,0.016205093088804093,Negligible,21.9,27.3,-5.400000000000002,Positive,No statistically significant effect on correctness scores (p=0.747)
Subtype: ambiguities,Correctness,0.8305004202772472,No,0.010571660238493007,Negligible,21.9,25.0,-3.1000000000000014,Positive,No statistically significant effect on correctness scores (p=0.831)
Subtype: vague_pronouns,Completeness,0.9748325936185439,No,0.001601601890467396,Negligible,39.8,35.7,4.099999999999994,Negative,No statistically significant effect on completeness scores (p=0.975)
Subtype: optional_parts,Completeness,1.0,No,0.0,Negligible,39.8,36.4,3.3999999999999986,Negative,No statistically significant effect on completeness scores (p=1.000)
